1000,52.35,4.9167
1001,52.35,4.9167
1002,52.35,4.9167
1003,52.35,4.9167
1004,52.35,4.9167
1005,52.35,4.9167
1006,52.35,4.9167
1007,52.35,4.9167
1008,52.35,4.9167
1009,52.35,4.9167
1010,52.3552,4925
1011,52371,4.9041
1012,52.3735,4.8951
1013,52.3877,4.8839
1014,52.3908,4.8668
1015,52.3784,4.8836
1016,52.3709,4.8816
1017,52363,4.8924
1018,52.3676,4.9184
1019,52.3733,4.9391
1020,52.3917,4.9833
1021,52.3846,4.9172
1022,52.3987,4.9299
1023,52.3899,4947
1024,52.3939,4.9547
1025,52399,4.9361
1026,52.3788,4.9905
1027,52.4092,4966
1028,52.4014,5.0073
1030,52.3552,4925
1031,52.3888,4.9062
1032,52.3964,4.9126
1033,52.4092,4.8902
1034,52.4075,4917
1035,52.4196,4.8944
1036,52.4082,4.9025
1037,52.4253,4.8602
1038,52.3552,4925
1039,52.3552,4925
1040,52.3552,4925
1041,52.4135,4.8372
1042,52405,4.8343
1043,52.3883,4.8335
1044,52.4053,4.8088
1045,52.4095,4.7987
1046,52.3915,4.7847
1047,52.4027,4.7592
1048,52.3552,4925
1049,52.3552,4925
1050,52.3552,4925
1051,52.3818,4.8717
1052,52377,4874
1053,52.3668,4.8681
1054,52.3617,4.8669
1055,52.3802,4.8524
1056,52.3732,4856
1057,52.3677,4.8551
1058,52.3579,4851
1059,52.3488,4.8468
1060,52.3491,4.7835
1061,52.3736,4.8395
1062,52.3548,4.8381
1063,52.3814,4.8259
1064,52.3742,4.8218
1065,52.3573,4.8278
1066,52346,4.8163
1067,52.3786,4.7987
1068,52.3592,4.8052
1069,52.3556,4.7907
1070,52.3552,4925
1071,52.3552,4.8789
1072,52.3535,4.8902
1073,52.3532,4.8982
1074,52.3539,4.9042
1075,52.3518,4.8586
1076,52.3455,4.8607
1077,52346,4.8738
1078,52.3464,4.8977
1079,52.3423,4.9036
1080,52.35,4.9167
1081,52.3278,4862
1082,52.3311,4.8742
1083,52.3302,4.8844
1084,52.35,4.9167
1085,52.35,4.9167
1086,52.3628,4.9819
1087,52.3539,5.0005
1088,52.35,4.9167
1089,52.35,4.9167
1090,52.3552,4925
1091,52.3556,4.9135
1092,52.3565,4.9228
1093,52.3618,4928
1094,52.3626,4936
1095,52.3666,4952
1096,52.3387,4.9197
1097,52.3465,4.9301
1098,52.3529,4.9422
1099,52.3552,4925
1100,52.3075,4.9722
1101,52.3083,4.9425
1102,52.3166,4.9517
1103,52.3231,4.9722
1104,52.3164,4.9776
1105,52.2977,4.9562
1106,52.2991,4.9754
1107,52.2932,4.9803
1108,52.3082,4.9807
1109,52.3059,5.0163
1110,52.3383,4.9597
1111,52.3434,4.9669
1112,52.3316,4.9588
1113,52.3487,4.9805
1114,52329,4.9275
1115,52.3315,4.9385
1117,52.3107,4.8095
1118,52.3017,4.7558
1119,52.2795,4.7548
